LINEAR, 500, -4666973841040904097, 426, 152, 154, 0.000686
LINEAR, 500, -1990597622873865019, 437, 104, 178, 0.000605
LINEAR, 500, -8223946104377861958, 402, 177, 165, 0.000510
LINEAR, 500, -8811822948555199407, 393, 149, 187, 0.000451
LINEAR, 500, 6084542585210067024, 417, 128, 179, 0.000388
LINEAR, 500, -2133629401371164667, 403, 167, 171, 0.000407
LINEAR, 500, -3119484561051954879, 429, 154, 159, 0.000399
LINEAR, 500, 656174231754866806, 428, 144, 169, 0.000420
LINEAR, 500, -5442460386740181749, 412, 153, 170, 0.000394
LINEAR, 500, -5771084477653050780, 411, 166, 165, 0.000449
LINEAR, 1000, -4666973841040904097, 839, 323, 320, 0.001609
LINEAR, 1000, -1990597622873865019, 861, 271, 337, 0.001658
LINEAR, 1000, -8223946104377861958, 791, 360, 343, 0.001397
LINEAR, 1000, -8811822948555199407, 804, 267, 365, 0.001316
LINEAR, 1000, 6084542585210067024, 821, 300, 352, 0.001492
LINEAR, 1000, -2133629401371164667, 825, 299, 350, 0.001513
LINEAR, 1000, -3119484561051954879, 840, 271, 346, 0.001571
LINEAR, 1000, 656174231754866806, 842, 303, 343, 0.001549
LINEAR, 1000, -5442460386740181749, 819, 325, 341, 0.001417
LINEAR, 1000, -5771084477653050780, 844, 331, 317, 0.001523
LINEAR, 2000, -4666973841040904097, 1690, 624, 663, 0.002531
LINEAR, 2000, -1990597622873865019, 1689, 582, 685, 0.002551
LINEAR, 2000, -8223946104377861958, 1632, 673, 688, 0.002535
LINEAR, 2000, -8811822948555199407, 1652, 594, 680, 0.002446
LINEAR, 2000, 6084542585210067024, 1659, 577, 700, 0.002752
LINEAR, 2000, -2133629401371164667, 1675, 633, 665, 0.002564
LINEAR, 2000, -3119484561051954879, 1692, 581, 667, 0.002481
LINEAR, 2000, 656174231754866806, 1689, 616, 663, 0.002615
LINEAR, 2000, -5442460386740181749, 1651, 679, 654, 0.002794
LINEAR, 2000, -5771084477653050780, 1690, 658, 643, 0.002493
LINEAR, 5000, -4666973841040904097, 4205, 1611, 1652, 0.005144
LINEAR, 5000, -1990597622873865019, 4173, 1541, 1712, 0.004353
LINEAR, 5000, -8223946104377861958, 4114, 1589, 1729, 0.006691
