Type, Insertions, Time
BST, 5000, 0.001627
BST, 10000, 0.002846
BST, 15000, 0.006234
BST, 20000, 0.005210
BST, 25000, 0.006035
BST, 30000, 0.011139
BST, 35000, 0.009730
BST, 40000, 0.027508
BST, 45000, 0.012489
BST, 50000, 0.019025
AVL, 5000, 0.003918
AVL, 10000, 0.003814
AVL, 15000, 0.005090
AVL, 20000, 0.006528
AVL, 25000, 0.008868
AVL, 30000, 0.011305
AVL, 35000, 0.014480
AVL, 40000, 0.015231
AVL, 45000, 0.018302
AVL, 50000, 0.029365
TREAP, 5000, 0.011783
TREAP, 10000, 0.051039
TREAP, 15000, 0.119717
TREAP, 20000, 0.208826
TREAP, 25000, 0.383710
TREAP, 30000, 0.692390
TREAP, 35000, 0.994272
TREAP, 40000, 1.391888
TREAP, 45000, 1.818460
TREAP, 50000, 2.481247
SKIP, 5000, 0.001235
SKIP, 10000, 0.002946
SKIP, 15000, 0.004601
SKIP, 20000, 0.006625
SKIP, 25000, 0.010799
SKIP, 30000, 0.013814
SKIP, 35000, 0.019050
SKIP, 40000, 0.025794
SKIP, 45000, 0.024978
SKIP, 50000, 0.027603
