Type, Insertions, Time
BST, 5000, 0.002916
BST, 10000, 0.003086
BST, 15000, 0.005448
BST, 20000, 0.006955
BST, 25000, 0.006696
BST, 30000, 0.013588
BST, 35000, 0.015157
BST, 40000, 0.013344
BST, 45000, 0.017034
BST, 50000, 0.015310
AVL, 5000, 0.002854
AVL, 10000, 0.004338
AVL, 15000, 0.005543
AVL, 20000, 0.007096
AVL, 25000, 0.009820
AVL, 30000, 0.016931
AVL, 35000, 0.015311
AVL, 40000, 0.018802
AVL, 45000, 0.021442
AVL, 50000, 0.024734
TREAP, 5000, 0.001641
TREAP, 10000, 0.002403
TREAP, 15000, 0.003870
TREAP, 20000, 0.004954
TREAP, 25000, 0.007916
TREAP, 30000, 0.009058
TREAP, 35000, 0.011528
TREAP, 40000, 0.013656
TREAP, 45000, 0.015942
TREAP, 50000, 0.018578
SKIP, 5000, 0.002193
SKIP, 10000, 0.002960
SKIP, 15000, 0.004736
SKIP, 20000, 0.006722
SKIP, 25000, 0.009025
SKIP, 30000, 0.011774
SKIP, 35000, 0.014318
SKIP, 40000, 0.017251
SKIP, 45000, 0.019038
SKIP, 50000, 0.022556
