Type, Insertions, Time
BST, 5000, 0.001908
BST, 10000, 0.003495
BST, 15000, 0.006087
BST, 20000, 0.007264
BST, 25000, 0.007776
BST, 30000, 0.014379
BST, 35000, 0.015294
BST, 40000, 0.013968
BST, 45000, 0.021742
BST, 50000, 0.015959
AVL, 5000, 0.000803
AVL, 10000, 0.001800
AVL, 15000, 0.003049
AVL, 20000, 0.003556
AVL, 25000, 0.005635
AVL, 30000, 0.007414
AVL, 35000, 0.009040
AVL, 40000, 0.011453
AVL, 45000, 0.012812
AVL, 50000, 0.013782
TREAP, 5000, 0.000969
TREAP, 10000, 0.002113
TREAP, 15000, 0.003460
TREAP, 20000, 0.004791
TREAP, 25000, 0.007076
TREAP, 30000, 0.008254
TREAP, 35000, 0.012853
TREAP, 40000, 0.015492
TREAP, 45000, 0.015692
TREAP, 50000, 0.020230
SKIP, 5000, 0.001223
SKIP, 10000, 0.002815
SKIP, 15000, 0.004930
SKIP, 20000, 0.007028
SKIP, 25000, 0.009566
SKIP, 30000, 0.011400
SKIP, 35000, 0.014653
SKIP, 40000, 0.018653
SKIP, 45000, 0.022132
SKIP, 50000, 0.025227
