Type, Insertions, Time
BST, 3, 0.000003
BST, 4, 0.000007
BST, 5, 0.000021
BST, 6, 0.000051
BST, 7, 0.000151
BST, 8, 0.000599
BST, 9, 0.002354
BST, 10, 0.009801
BST, 11, 0.050531
BST, 12, 0.232027
AVL, 3, 0.000013
AVL, 4, 0.000021
AVL, 5, 0.000034
AVL, 6, 0.000071
AVL, 7, 0.000172
AVL, 8, 0.000605
AVL, 9, 0.002237
AVL, 10, 0.009573
AVL, 11, 0.043015
AVL, 12, 0.207046
TREAP, 3, 0.000009
TREAP, 4, 0.000012
TREAP, 5, 0.000023
TREAP, 6, 0.000060
TREAP, 7, 0.000181
TREAP, 8, 0.000731
TREAP, 9, 0.003004
TREAP, 10, 0.013828
TREAP, 11, 0.058234
TREAP, 12, 0.279971
SKIP, 3, 0.000006
SKIP, 4, 0.000011
SKIP, 5, 0.000031
SKIP, 6, 0.000132
SKIP, 7, 0.000581
SKIP, 8, 0.002562
SKIP, 9, 0.013332
SKIP, 10, 0.054028
SKIP, 11, 0.305135
SKIP, 12, 1.901009
