Type,Insertions,Time
BST,5000,0.001912
BST,10000,0.002737
BST,15000,0.005222
BST,20000,0.005268
BST,25000,0.007499
BST,30000,0.014002
BST,35000,0.011231
BST,40000,0.021961
BST,45000,0.013567
BST,50000,0.013303
AVL,5000,0.002574
AVL,10000,0.003411
AVL,15000,0.004994
AVL,20000,0.006750
AVL,25000,0.009751
AVL,30000,0.010362
AVL,35000,0.012485
AVL,40000,0.015402
AVL,45000,0.024585
AVL,50000,0.021640
TREAP,5000,0.009923
TREAP,10000,0.080755
TREAP,15000,0.097542
TREAP,20000,0.243874
TREAP,25000,0.435318
TREAP,30000,0.899285
TREAP,35000,1.492896
TREAP,40000,1.593510
TREAP,45000,2.009943
TREAP,50000,2.751335
SKIP,5000,0.181238
SKIP,10000,0.837297
SKIP,15000,1.936291
SKIP,20000,4.452556
SKIP,25000,8.024417
SKIP,30000,11.888247
SKIP,35000,19.097227
SKIP,40000,26.966133
SKIP,45000,39.052921
,,SKIP, 50000, 59.201457
